"followers","genres","href","id","name","popularity","type","uri"
2320209,"afrofuturism, pop, post-teen pop, pov: indie","https://api.spotify.com/v1/artists/3rWZHrfrsPBxVy692yAIxF","3rWZHrfrsPBxVy692yAIxF","WILLOW",69,"artist","spotify:artist:3rWZHrfrsPBxVy692yAIxF"
223417,"british alternative rock, modern alternative rock","https://api.spotify.com/v1/artists/1aOt6LvXOV6I8dv1A5Diia","1aOt6LvXOV6I8dv1A5Diia","DON BROCO",52,"artist","spotify:artist:1aOt6LvXOV6I8dv1A5Diia"
252522,"alternative emo, diy emo, emo, indie punk, north carolina emo","https://api.spotify.com/v1/artists/6PsktPFR0UZptKdSqmlS5h","6PsktPFR0UZptKdSqmlS5h","Mom Jeans.",54,"artist","spotify:artist:6PsktPFR0UZptKdSqmlS5h"
22074793,"pop","https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6","5YGY8feqx7naU7z4HrwZM6","Miley Cyrus",85,"artist","spotify:artist:5YGY8feqx7naU7z4HrwZM6"
198694,"boston hardcore, chaotic hardcore, mathcore, metalcore, post-hardcore, post-rock, sludge metal","https://api.spotify.com/v1/artists/7kHzfxMLtVHHb523s43rY1","7kHzfxMLtVHHb523s43rY1","Converge",42,"artist","spotify:artist:7kHzfxMLtVHHb523s43rY1"
265266,"indie r&b, nyc pop","https://api.spotify.com/v1/artists/6iWuBN32BqCJAeXW6o3nil","6iWuBN32BqCJAeXW6o3nil","Cautious Clay",56,"artist","spotify:artist:6iWuBN32BqCJAeXW6o3nil"
855537,"alternative r&b","https://api.spotify.com/v1/artists/5XenQ7XfcvQdfIbpLEFaKQ","5XenQ7XfcvQdfIbpLEFaKQ","GoldLink",64,"artist","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ"
42393,"indie game soundtrack","https://api.spotify.com/v1/artists/63OPPk7uHFdcpTuOFYpNfV","63OPPk7uHFdcpTuOFYpNfV","Chris Christodoulou",47,"artist","spotify:artist:63OPPk7uHFdcpTuOFYpNfV"
2426329,"modern blues rock, modern hard rock, rock","https://api.spotify.com/v1/artists/4NpFxQe2UvRCAjto3JqlSl","4NpFxQe2UvRCAjto3JqlSl","Greta Van Fleet",67,"artist","spotify:artist:4NpFxQe2UvRCAjto3JqlSl"
1322353,"hip hop, rap, tennessee hip hop, underground hip hop","https://api.spotify.com/v1/artists/6aaMZ3fcfLv4tEbmY7bjRM","6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad",66,"artist","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM"
1829,"","https://api.spotify.com/v1/artists/5DUZJwpFtWGiMAswPUtlh3","5DUZJwpFtWGiMAswPUtlh3","Baby Bulldog",22,"artist","spotify:artist:5DUZJwpFtWGiMAswPUtlh3"
