"","endTime","artistName","trackName","msPlayed"
"363","2022-09-01 22:26","JPEGMAFIA","WHAT KIND OF RAPPIN' IS THIS?",33181
"364","2022-09-01 22:29","JID","Crack Sandwich",192052
"365","2022-09-01 22:30","Imagine Dragons","Enemy (with JID) - from the series Arcane League of Legends",15696
"366","2022-09-01 22:31","JID","Can’t Punk Me (feat. EARTHGANG)",67105
"367","2022-09-01 22:43","JID","Surround Sound (feat. 21 Savage & Baby Tate)",229938
"368","2022-09-01 22:47","JID","Kody Blu 31",224629
"369","2022-09-01 23:49","JID","Bruddanem (feat. Lil Durk)",221532
"370","2022-09-01 23:55","JID","Sistanem",369778
"371","2022-09-02 00:20","JID","Can’t Make U Change (feat. Ari Lennox)",288454
"372","2022-09-02 00:21","JID","Stars (feat. Yasiin Bey)",72221
"373","2022-09-02 12:53","JID","Stars (feat. Yasiin Bey)",186028
"374","2022-09-02 12:55","JID","Just In Time (feat. Lil Wayne & Kenny Mason)",96488
"375","2022-09-02 12:57","JID","Money",97578
"376","2022-09-02 13:02","JID","Better Days (feat. Johnta Austin)",254281
"377","2022-09-02 14:03","JID","Lauder Too (feat. Ravyn Lenae & Eryn Allen Kane)",233077
"378","2022-09-02 14:05","JID","Galaxy",52041
"379","2022-09-02 15:58","Marlon Craft","Somethin Wrong In Heaven",157668
"380","2022-09-02 16:01","JID","Surround Sound (feat. 21 Savage & Baby Tate)",229938
"381","2022-09-02 16:02","JID","Dance Now (feat. Kenny Mason)",46691
"382","2022-09-02 20:45","JID","Dance Now (feat. Kenny Mason)",180865
"383","2022-09-02 21:24","Dreamville","Stick (with JID & J. Cole feat. Kenny Mason & Sheck Wes)",178962
"384","2022-09-02 21:57","JID","Raydar",204909
"385","2022-09-02 23:19","JID","Bruddanem (feat. Lil Durk)",235423
"386","2022-09-02 23:21","Imagine Dragons","Enemy (with JID) - from the series Arcane League of Legends",173381
"387","2022-09-03 00:28","JID","Surround Sound (feat. 21 Savage & Baby Tate)",229938
"388","2022-09-03 00:30","JID","151 Rum",156780
"389","2022-09-03 00:31","JID","Dance Now (with Kenny Mason)",65488
"390","2022-09-03 14:48","JID","Dance Now (with Kenny Mason)",161888
"391","2022-09-03 14:51","Dreamville","Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",217866
"392","2022-09-03 14:56","WILLOW","Wait a Minute!",2832
"393","2022-09-03 14:56","Remi Wolf","Photo ID (with Dominic Fike)",139
"394","2022-09-03 14:56","Ashnikko","Daisy",464
"395","2022-09-03 14:56","Doja Cat","Woman",626
"396","2022-09-03 14:56","Frank Ocean","Lost",859
